DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND5.5X4.0;-0.0007;10.7862;5.5;0;-0.0007;1.8774;0.6681;1.9159;0.0009;0.0385
ND5.5X4.2;-0.0007;11.3256;5.5;0;-0.0007;1.8791;0.6692;1.9164;0.0004;0.0374
ND6.5X0.0;-0.0008;-0.0005;6.5;0;0.0018;1.8436;0;1.9423;0.6916;0.0988
ND6.5X0.2;-0.0008;0.5388;6.5;0;0.0018;1.8442;0;1.9419;0.6913;0.0977
ND6.5X0.4;-0.0008;1.0782;6.5;0;0.0017;1.8465;0.0001;1.941;0.6908;0.0944
ND6.5X0.6;-0.0008;1.6175;6.5;0;0.0016;1.8503;0.0002;1.9394;0.6899;0.0891
ND6.5X0.8;-0.0008;2.1568;6.5;0;0.0015;1.855;0.0005;1.937;0.6887;0.082
ND6.5X1.0;-0.0008;2.6962;6.5;0;0.0013;1.8602;0.001;1.9337;0.6869;0.0735
ND6.5X1.2;-0.0008;3.2355;6.5;0;0.0012;1.8654;0.0019;1.9295;0.6844;0.0641
ND6.5X1.4;-0.0008;3.7748;6.5;0;0.001;1.8704;0.0034;1.9244;0.6811;0.054
ND6.5X1.6;-0.0008;4.3142;6.5;0;0.0008;1.875;0.0059;1.9188;0.6765;0.0437
ND6.5X1.8;-0.0008;4.8535;6.5;0;0.0006;1.8793;0.0105;1.9128;0.6698;0.0335
ND6.5X2.0;-0.0008;5.3928;6.5;0;0.0004;1.8831;0.0205;1.9069;0.6577;0.0238
ND6.5X2.2;-0.0008;5.9322;6.5;0;0.0002;1.8865;0.0491;1.9016;0.6272;0.0151
ND6.5X2.4;-0.0008;6.4715;6.5;0;0.0001;1.8891;0.1698;1.8975;0.5048;0.0085
ND6.5X2.6;-0.0008;7.0108;6.5;0;-0.0001;1.889;0.4884;1.8967;0.1848;0.0077
ND6.5X2.8;-0.0008;7.5502;6.5;0;-0.0002;1.8869;0.6202;1.8987;0.052;0.0118
ND6.5X3.0;-0.0008;8.0895;6.5;0;-0.0003;1.8849;0.6498;1.9013;0.0216;0.0164
ND6.5X3.2;-0.0008;8.6288;6.5;0;-0.0004;1.8836;0.6595;1.9038;0.0115;0.0203
ND6.5X3.4;-0.0008;9.1682;6.5;0;-0.0004;1.8829;0.6639;1.9061;0.0069;0.0232
ND6.5X3.6;-0.0008;9.7075;6.5;0;-0.0005;1.8827;0.6664;1.908;0.0044;0.0252
ND6.5X3.8;-0.0008;10.2468;6.5;0;-0.0005;1.883;0.6682;1.9094;0.0028;0.0264
ND6.5X4.0;-0.0008;10.7862;6.5;0;-0.0005;1.8836;0.6694;1.9105;0.0017;0.027
ND6.5X4.2;-0.0008;11.3255;6.5;0;-0.0005;1.8843;0.6704;1.9113;0.001;0.027
ND7.5X0.0;-0.0009;-0.0006;7.5;0;0.0014;1.8587;0;1.9327;0.6884;0.074
ND7.5X0.2;-0.0009;0.5388;7.5;0;0.0013;1.859;0;1.9323;0.6881;0.0733
ND7.5X0.4;-0.0009;1.0781;7.5;0;0.0013;1.8603;0.0001;1.9314;0.6877;0.0711
ND7.5X0.6;-0.0009;1.6174;7.5;0;0.0012;1.8624;0.0002;1.93;0.687;0.0676
ND7.5X0.8;-0.0009;2.1568;7.5;0;0.0012;1.8652;0.0005;1.9281;0.6859;0.063
ND7.5X1.0;-0.0009;2.6961;7.5;0;0.001;1.8683;0.0009;1.9256;0.6846;0.0573
ND7.5X1.2;-0.0009;3.2354;7.5;0;0.0009;1.8717;0.0016;1.9226;0.6828;0.0509
ND7.5X1.4;-0.0009;3.7748;7.5;0;0.0008;1.8752;0.0027;1.9191;0.6804;0.044
ND7.5X1.6;-0.0009;4.3141;7.5;0;0.0007;1.8785;0.0044;1.9153;0.6773;0.0368
ND7.5X1.8;-0.0009;4.8534;7.5;0;0.0005;1.8818;0.0072;1.9113;0.673;0.0295
ND7.5X2.0;-0.0009;5.3928;7.5;0;0.0004;1.8848;0.0127;1.9073;0.6662;0.0225
ND7.5X2.2;-0.0009;5.9321;7.5;0;0.0003;1.8877;0.0248;1.9036;0.6528;0.0159
ND7.5X2.4;-0.0009;6.4714;7.5;0;0.0002;1.8902;0.0598;1.9004;0.6165;0.0102
ND7.5X2.6;-0.0009;7.0108;7.5;0;0;1.8921;0.1952;1.8981;0.4801;0.006
ND7.5X2.8;-0.0009;7.5501;7.5;0;0;1.8922;0.4876;1.898;0.1869;0.0058
ND7.5X3.0;-0.0009;8.0894;7.5;0;-0.0001;1.8911;0.6143;1.8995;0.0595;0.0084
ND7.5X3.2;-0.0009;8.6288;7.5;0;-0.0002;1.8899;0.6477;1.9013;0.0257;0.0115
ND7.5X3.4;-0.0009;9.1681;7.5;0;-0.0002;1.889;0.6594;1.9031;0.0136;0.0141
ND7.5X3.6;-0.0009;9.7074;7.5;0;-0.0003;1.8885;0.6648;1.9046;0.0081;0.0161
ND7.5X3.8;-0.0009;10.2468;7.5;0;-0.0003;1.8883;0.6678;1.9059;0.0051;0.0176
ND7.5X4.0;-0.0009;10.7861;7.5;0;-0.0003;1.8883;0.6696;1.9069;0.0032;0.0186
ND7.5X4.2;-0.0009;11.3254;7.5;0;-0.0004;1.8885;0.6709;1.9077;0.0021;0.0192
ND8.5X0.0;-0.001;-0.0007;8.5;0;0.001;1.8689;0;1.9254;0.6859;0.0565
ND8.5X0.2;-0.001;0.5387;8.5;0;0.001;1.869;0.0001;1.9251;0.6857;0.0561
ND8.5X0.4;-0.001;1.078;8.5;0;0.001;1.8698;0.0001;1.9244;0.6853;0.0546
ND8.5X0.6;-0.001;1.6173;8.5;0;0.001;1.8711;0.0003;1.9233;0.6847;0.0523
ND8.5X0.8;-0.001;2.1567;8.5;0;0.0009;1.8728;0.0005;1.9219;0.684;0.0491
ND8.5X1.0;-0.001;2.696;8.5;0;0.0008;1.8748;0.0009;1.92;0.6829;0.0452
ND8.5X1.2;-0.001;3.2353;8.5;0;0.0007;1.8771;0.0014;1.9179;0.6816;0.0408
ND8.5X1.4;-0.001;3.7747;8.5;0;0.0007;1.8795;0.0022;1.9154;0.6799;0.0359
ND8.5X1.6;-0.001;4.314;8.5;0;0.0006;1.8819;0.0034;1.9128;0.6777;0.0309
ND8.5X1.8;-0.001;4.8533;8.5;0;0.0005;1.8843;0.0054;1.91;0.6747;0.0257
ND8.5X2.0;-0.001;5.3927;8.5;0;0.0004;1.8867;0.0087;1.9072;0.6704;0.0206
ND8.5X2.2;-0.001;5.932;8.5;0;0.0003;1.8889;0.015;1.9046;0.6632;0.0157
ND8.5X2.4;-0.001;6.4713;8.5;0;0.0002;1.891;0.0291;1.9022;0.6482;0.0112
ND8.5X2.6;-0.001;7.0107;8.5;0;0.0001;1.8929;0.0686;1.9002;0.608;0.0072
ND8.5X2.8;-0.001;7.55;8.5;0;0;1.8943;0.2055;1.8988;0.4704;0.0045
ND8.5X3.0;-0.001;8.0893;8.5;0;0;1.8945;0.4754;1.8988;0.1999;0.0043
ND8.5X3.2;-0.001;8.6287;8.5;0;-0.0001;1.8939;0.606;1.8999;0.0689;0.006
ND8.5X3.4;-0.001;9.168;8.5;0;-0.0001;1.8931;0.6443;1.9012;0.0303;0.0081
ND8.5X3.6;-0.001;9.7073;8.5;0;-0.0002;1.8925;0.6583;1.9024;0.0161;0.0099
ND8.5X3.8;-0.001;10.2467;8.5;0;-0.0002;1.8921;0.6647;1.9035;0.0095;0.0114
ND8.5X4.0;-0.001;10.786;8.5;0;-0.0002;1.8919;0.6681;1.9045;0.006;0.0126
ND8.5X4.2;-0.001;11.3253;8.5;0;-0.0002;1.8918;0.6702;1.9052;0.0039;0.0134
ND9.5X0.0;-0.0011;-0.0007;9.5;0;0.0008;1.876;0;1.92;0.684;0.044
ND9.5X0.2;-0.0011;0.5386;9.5;0;0.0008;1.8761;0.0001;1.9198;0.6838;0.0437
ND9.5X0.4;-0.0011;1.0779;9.5;0;0.0008;1.8766;0.0002;1.9192;0.6835;0.0427
ND9.5X0.6;-0.0011;1.6173;9.5;0;0.0008;1.8774;0.0003;1.9184;0.6831;0.0411
