DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;CPL_meV;CPL_cm-1
ND9.5X0.2;-0.0011;0.5386;9.5;0;0.0008;0.8;6.452432
ND9.5X0.4;-0.0011;1.0779;9.5;0;0.0008;0.8;6.452432
ND9.5X0.6;-0.0011;1.6173;9.5;0;0.0008;0.8;6.452432
ND9.5X0.8;-0.0011;2.1566;9.5;0;0.0007;0.7;5.645878
ND9.5X1.0;-0.0011;2.6959;9.5;0;0.0007;0.7;5.645878
ND9.5X1.2;-0.0011;3.2353;9.5;0;0.0006;0.6;4.839324
ND9.5X1.4;-0.0011;3.7746;9.5;0;0.0005;0.5;4.03277
ND9.5X1.6;-0.0011;4.3139;9.5;0;0.0005;0.5;4.03277
ND9.5X1.8;-0.0011;4.8533;9.5;0;0.0004;0.4;3.226216
ND9.5X2.0;-0.0011;5.3926;9.5;0;0.0003;0.3;2.419662
ND9.5X2.2;-0.0011;5.9319;9.5;0;0.0003;0.3;2.419662
ND9.5X2.4;-0.0011;6.4713;9.5;0;0.0002;0.2;1.613108
ND9.5X2.6;-0.0011;7.0106;9.5;0;0.0001;0.1;0.806554
ND9.5X2.8;-0.0011;7.5499;9.5;0;0.0001;0.1;0.806554
ND9.5X3.0;-0.0011;8.0893;9.5;0;0;0;0
ND9.5X3.2;-0.0011;8.6286;9.5;0;0;0;0
ND9.5X3.4;-0.0011;9.1679;9.5;0;-0.0001;-0.1;-0.806554
ND9.5X3.6;-0.0011;9.7073;9.5;0;-0.0001;-0.1;-0.806554
ND9.5X3.8;-0.0011;10.2466;9.5;0;-0.0001;-0.1;-0.806554
ND9.5X4.0;-0.0011;10.7859;9.5;0;-0.0001;-0.1;-0.806554
ND9.5X4.2;-0.0011;11.3253;9.5;0;-0.0002;-0.2;-1.613108
ND3.5X0X45d0.0;-0.0004;-0.0003;3.5;0;0.0052;5.2;41.940808
ND3.5X0X45d0.2;-0.3818;0.3811;3.4999;0;0.0051;5.1;41.134254
ND3.5X0X45d0.4;-0.7632;0.7625;3.4999;0;0.0047;4.7;37.908038
ND3.5X0X45d0.6;-1.1445;1.1438;3.4998;0;0.0043;4.3;34.681822
ND3.5X0X45d0.8;-1.5259;1.5252;3.4998;0;0.0038;3.8;30.649052
ND3.5X0X45d1.0;-1.9072;1.9066;3.4997;0;0.0034;3.4;27.422836
ND3.5X0X45d1.2;-2.2886;2.2879;3.4997;0;0.0029;2.9;23.390066
ND3.5X0X45d1.4;-2.67;2.6693;3.4996;0;0.0025;2.5;20.16385
ND3.5X0X45d1.6;-3.0513;3.0507;3.4995;0;0.002;2;16.13108
ND3.5X0X45d1.8;-3.4327;3.432;3.4995;0;0.0015;1.5;12.09831
ND3.5X0X45d2.0;-3.8141;3.8134;3.4994;0;0.0011;1.1;8.872094
ND3.5X0X45d2.2;-4.1954;4.1948;3.4994;0;0.0007;0.7;5.645878
ND3.5X0X45d2.4;-4.5768;4.5761;3.4993;0;0.0004;0.4;3.226216
ND3.5X0X45d2.6;-4.9582;4.9575;3.4993;0;0.0002;0.2;1.613108
ND3.5X0X45d2.8;-5.3395;5.3389;3.4992;0;0;0;0
ND3.5X0X45d3.0;-5.7209;5.7202;3.4991;0;-0.0001;-0.1;-0.806554
ND3.5X0X45d3.2;-6.1023;6.1016;3.4991;0;-0.0001;-0.1;-0.806554
ND3.5X0X45d3.4;-6.4836;6.483;3.499;0;-0.0001;-0.1;-0.806554
ND3.5X0X45d3.6;-6.865;6.8643;3.499;0;-0.0002;-0.2;-1.613108
ND3.5X0X45d3.8;-7.2464;7.2457;3.4989;0;-0.0002;-0.2;-1.613108
ND3.5X0X45d4.0;-7.6277;7.6271;3.4988;0;-0.0002;-0.2;-1.613108
ND3.5X0X45d4.2;-8.0091;8.0084;3.4988;0;-0.0002;-0.2;-1.613108
ND4.5X0X45d0.0;-0.0005;-0.0003;4.5;0;0.0035;3.5;28.22939
