DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND8.5X0X45d3.4;-6.484239;6.482574;8.499021;0;0.00015928;1.89362623;0.00854329;1.90248025;0.66923336;0.00885402
ND8.5X0X45d3.6;-6.865606;6.86394;8.498962;0;0.00012655;1.89465066;0.01303464;1.90176866;0.66449081;0.007118
ND8.5X0X45d3.8;-7.246972;7.245306;8.498905;0;9.87E-05;1.89555087;0.02007243;1.90120932;0.65725247;0.00565844
ND8.5X0X45d4.0;-7.628338;7.626672;8.498848;0;7.51E-05;1.89633345;0.03124611;1.90078539;0.64592254;0.00445194
ND8.5X0X45d4.2;-8.009704;8.008038;8.49879;0;5.54E-05;1.8970052;0.04919332;1.9004807;0.62785703;0.00347551
ND9.5X0X45d0.0;-0.001133;-0.000729;9.5;0;0.00080689;1.87597523;2.31E-05;1.91996913;0.68399196;0.04399391
ND9.5X0X45d0.2;-0.3825;0.380638;9.499943;0;0.00080225;1.87606098;3.03E-05;1.9198137;0.68391223;0.04375272
ND9.5X0X45d0.4;-0.763866;0.762004;9.499884;0;0.00078842;1.87641751;3.85E-05;1.91942674;0.6837503;0.04300922
ND9.5X0X45d0.6;-1.145232;1.143369;9.499827;0;0.00076592;1.87702842;5.12E-05;1.91881967;0.68350801;0.04179125
ND9.5X0X45d0.8;-1.526598;1.524736;9.49977;0;0.00073557;1.87786804;6.88E-05;1.91801079;0.68319212;0.04014275
ND9.5X0X45d1.0;-1.907964;1.906103;9.499712;0;0.00069842;1.87890287;9.39E-05;1.91702433;0.68280954;0.03812146
ND9.5X0X45d1.2;-2.289331;2.287469;9.499654;0;0.00065571;1.88009467;0.00012943;1.91588975;0.68236782;0.03579508
ND9.5X0X45d1.4;-2.670697;2.668834;9.499596;0;0.00060878;1.88140323;0.00017988;1.9146406;0.68187442;0.03323737
ND9.5X0X45d1.6;-3.052063;3.050201;9.499539;0;0.00055902;1.8827889;0.00025113;1.91331306;0.68133582;0.03052416
ND9.5X0X45d1.8;-3.433429;3.431567;9.499482;0;0.00050777;1.88421457;0.0003513;1.91194439;0.68075643;0.02772982
ND9.5X0X45d2.0;-3.814795;3.812934;9.499423;0;0.00045631;1.88564713;0.00049175;1.91057115;0.68013703;0.02492401
ND9.5X0X45d2.2;-4.196161;4.1943;9.499366;0;0.00040575;1.88705845;0.00068857;1.90922744;0.67947279;0.02216899
ND9.5X0X45d2.4;-4.577528;4.575666;9.499309;0;0.00035707;1.88842564;0.00096481;1.9079433;0.67875052;0.01951766
ND9.5X0X45d2.6;-4.958894;4.957032;9.499251;0;0.00031101;1.88973099;0.00135374;1.90674334;0.67794504;0.01701235
ND9.5X0X45d2.8;-5.34026;5.338398;9.499193;0;0.00026816;1.89096153;0.0019035;1.90564587;0.67701419;0.01468433
ND9.5X0X45d3.0;-5.721626;5.719764;9.499136;0;0.00022887;1.8921085;0.00268396;1.90466262;0.67589193;0.01255412
ND9.5X0X45d3.2;-6.102992;6.10113;9.499078;0;0.00019333;1.89316667;0.003797;1.90379907;0.67447812;0.0106324
ND9.5X0X45d3.4;-6.484359;6.482497;9.499021;0;0.00016158;1.89413379;0.00539248;1.90305521;0.67262276;0.00892143
ND9.5X0X45d3.6;-6.865725;6.863863;9.498962;0;0.00013353;1.89501001;0.00769378;1.90242675;0.67010091;0.00741673
ND9.5X0X45d3.8;-7.247091;7.245229;9.498905;0;0.00010899;1.89579744;0.01103961;1.9019063;0.6665712;0.00610886
ND9.5X0X45d4.0;-7.628457;7.626595;9.498848;0;8.77E-05;1.89649954;0.01595372;1.90148465;0.66150657;0.00498511
ND9.5X0X45d4.2;-8.009823;8.007961;9.49879;0;6.94E-05;1.89712073;0.02326136;1.90115185;0.65407808;0.00403112
ND3.0X0X90d0.0;-0.000358;-0.00023;3;0;0.00659595;1.67124253;5.52E-05;2.03996543;0.71288708;0.36872291
ND3.0X0X90d0.2;-0.539692;-0.00023;2.999895;0;0.00638982;1.68873853;0.00085921;2.04563247;0.71594152;0.35689394
ND3.0X0X90d0.4;-1.079024;-0.00023;2.999788;0;0.00594544;1.70276931;0.00152417;2.03252934;0.71477667;0.32976003
ND3.0X0X90d0.6;-1.618358;-0.00023;2.999683;0;0.00550715;1.7357504;0.00262144;2.03846046;0.71903368;0.30271006
ND3.0X0X90d0.8;-2.157691;-0.00023;2.999578;0;0.00507294;1.77452852;0.00349533;2.05119576;0.7236653;0.27666724
ND3.0X0X90d1.0;-2.697024;-0.00023;2.999471;0;0.00458878;1.77210584;0.01281447;2.03275789;0.70850226;0.26065205
ND3.0X0X90d1.2;-3.236357;-0.00023;2.999366;0;0.00412042;1.76854772;0.0130052;2.00280378;0.69839446;0.23425606
ND3.0X0X90d1.4;-3.775691;-0.00023;2.99926;0;0.00371856;1.76549355;0.01102661;1.97524432;0.69121277;0.20975076
ND3.0X0X90d1.6;-4.315023;-0.00023;2.999154;0;0.00335553;1.76798351;0.00974893;1.95600484;0.68595873;0.18802134
ND3.0X0X90d1.8;-4.854357;-0.00023;2.999049;0;0.0030133;1.78501423;0.00300512;1.95055735;0.69122821;0.16554312
ND3.0X0X90d2.0;-5.39369;-0.00023;2.998942;0;0.00272198;1.79289224;0.00236621;1.94214379;0.68927935;0.14925155
ND3.0X0X90d2.2;-5.933024;-0.00023;2.998837;0;0.00245988;1.80255485;0.0018867;1.93722506;0.68823849;0.1346702
ND3.0X0X90d2.4;-6.472356;-0.00023;2.998732;0;0.00219221;1.81975688;0.00102536;1.93942216;0.68994845;0.11966528
ND3.0X0X90d2.6;-7.01169;-0.00023;2.998625;0;0.00191597;1.8410913;9.22E-05;1.9453184;0.6930337;0.1042271
ND3.0X0X90d2.8;-7.551024;-0.00023;2.99852;0;0.00165613;1.86029972;0.00067912;1.95057726;0.69429568;0.09027754
ND3.0X0X90d3.0;-8.090356;-0.00023;2.998415;0;0.00142721;1.86897978;0.00038125;1.94668398;0.69315456;0.0777042
ND3.0X0X90d3.2;-8.62969;-0.00023;2.998308;0;0.00122946;1.86924901;8.58E-06;1.93615655;0.68988291;0.06690754
ND3.0X0X90d3.4;-9.169023;-0.00023;2.998203;0;0.00105943;1.87325623;0.00026868;1.93094288;0.68773378;0.05768666
ND3.0X0X90d3.6;-9.708356;-0.00023;2.998097;0;0.00091601;1.8762416;0.00226582;1.92632792;0.6840265;0.05008632
ND3.0X0X90d3.8;-10.247689;-0.00023;2.997991;0;0.00079577;1.88073565;0.00186401;1.92420246;0.68368781;0.04346681
ND3.0X0X90d4.0;-10.787023;-0.00023;2.997886;0;0.0006949;1.88580071;0.00044155;1.92364198;0.6849363;0.03784127
ND3.0X0X90d4.2;-11.326355;-0.00023;2.99778;0;0.00061015;1.8874299;0.00048329;1.92067003;0.68384228;0.03324013
